nome;nazionale;ruolo;quotazione
AARONSON B;USA;C;6
AASGAARD;NORVEGIA;C;16
ABADA;ALGERIA;D;2
ABDALLAH A;EGITTO;A;4
ABDEL KARIM;EGITTO;A;5
ABDELMOMEN M;EGITTO;D;7
ABDI A;TUNISIA;A;6
ABDULHAMID;ARABIA SAUDITA;D;3
ABDULLAYEV;UZBEKISTAN;C;4
ABDURISAG Y;QATAR;A;3
ABU HASHEESH;GIORDANIA;D;1
ABU LAYLA;GIORDANIA;P;5
ABUALNADI;GIORDANIA;D;4
ABUDAHAB;GIORDANIA;D;1
ABUNADA M;QATAR;P;1
ACEVEDO C;MESSICO;P;1
ACHOURI;TUNISIA;C;7
ADAMS CH;SCOZIA;A;19
ADAMS J;SUDAFRICA;C;8
ADAMS T;USA;C;6
ADE;HAITI;D;6
ADEL I;EGITTO;A;6
ADINGRA;IVORY COAST;C;9
ADJETEY;GHANA;D;5
ADU P;GHANA;A;6
AEBISCHER;SVIZZERA;C;6
AFFENGRUBER D;AUSTRIA;D;3
AFIF;QATAR;A;13
AGBADOU;IVORY COAST;D;5
AGUIRRE R;URUGUAY;C;18
AHMED AL;CANADA;C;4
AHMED H;QATAR;D;3
AIT-NOURI;ALGERIA;D;6
AJER;NORVEGIA;D;10
AKANJI M;SVIZZERA;D;10
AKAYDIN;TURCHIA;D;8
AKE;OLANDA;D;8
AKGUN;TURCHIA;A;14
AKLIOUCHE;FRANCIA;C;10
AKTURKOGLU;TURCHIA;A;23
AL AMMARI A;IRAQ;C;3
AL AQIDI;ARABIA SAUDITA;P;1
AL ARAB;GIORDANIA;D;2
AL BRAIK;QATAR;D;2
AL DAWOUD;GIORDANIA;C;3
AL DAWSARI;ARABIA SAUDITA;C;6
AL DAWSARI S;ARABIA SAUDITA;C;7
AL FADHLI F;IRAQ;P;1
AL FAKHOURI;GIORDANIA;P;1
AL GANEHI;QATAR;C;7
AL GHANNAM K;ARABIA SAUDITA;A;1
AL HAMDAN;ARABIA SAUDITA;A;7
AL HARBI;ARABIA SAUDITA;D;5
AL HAYDOS;QATAR;C;5
AL HUSSAIN MA;QATAR;D;1
AL JOHANI;ARABIA SAUDITA;C;3
AL JUWAYR;ARABIA SAUDITA;C;6
AL KASSAR;ARABIA SAUDITA;P;1
AL KHAIBARI;ARABIA SAUDITA;C;5
AL MANAI;QATAR;C;4
