ABUNADA M;QATAR - P
ALISSON;BRASILE - P
BEACH P;AUSTRALIA - P
BOUNOU;MAROCCO - P
CAKIR;TURCHIA - P
CREPEAU;CANADA - P
GEARY FREESE;USA - P
GILL O;PARAGUAY - P
GUNN;SCOZIA - P
KIM SG;COREA DEL SUD - P
KOBEL;SVIZZERA - P
KOVAR;REPUBBLICA CECA - P
PLACIDE;HAITI - P
RANGEL R;MESSICO - P
VASILJ N;BOSNIA - P
WILLIAMS;SUDAFRICA - P
ADE;HAITI - D
AHMED A;QATAR - D
AKANJI M;SVIZZERA - D
AL OUI;QATAR - D
ALDERETE;PARAGUAY - D
ALONSO J;PARAGUAY - D
ARCUS C;HAITI - D
BARDAKCI;TURCHIA - D
BEHICH E;AUSTRALIA - D
BOS;AUSTRALIA - D
BUCHANAN;CANADA - D
BURGESS C;AUSTRALIA - D
CACERES JJ;PARAGUAY - D
CELIK;TURCHIA - D
CHALOUPEK;REPUBBLICA CECA - D
CIRCATI;AUSTRALIA - D
CORNELIUS D;CANADA - D
COUFAL;REPUBBLICA CECA - D
DANILO DS;BRASILE - D
DE FOUGEROLLES;CANADA - D
DEDIC;BOSNIA - D
DELCROIX;HAITI - D
DEMIRAL;TURCHIA - D
DEST;USA - D
DIOP I;MAROCCO - D
DOUGLAS SANTOS;BRASILE - D
EL OUAHDI;MAROCCO - D
ELVEDI;SVIZZERA - D
EXPERIENCE;HAITI - D
FREEMAN A;USA - D
GALLARDO J;MESSICO - D
GERIA J;AUSTRALIA - D
GOMEZ G;PARAGUAY - D
HAKIMI;MAROCCO - D
HANLEY G;SCOZIA - D
HENDRY;SCOZIA - D
HICKEY;SCOZIA - D
HRANAC R;REPUBBLICA CECA - D
IBANEZ;BRASILE - D
ITALIANO J;AUSTRALIA - D
JOHNSTON AW;CANADA - D
KADIOGLU F;TURCHIA - D
KATIC;BOSNIA - D
KHOUKHI;QATAR - D
KIM MIN-JAE;COREA DEL SUD - D
KOLASINAC;BOSNIA - D
KREJCI L;REPUBBLICA CECA - D
LARYEA;CANADA - D
LEE GH;COREA DEL SUD - D
LEE HB;COREA DEL SUD - D
LEE TS;COREA DEL SUD - D
MAGALHAES;BRASILE - D
MARQUINHOS;BRASILE - D
MAZRAOUI;MAROCCO - D
MBOKAZI;SUDAFRICA - D
MODIBA A;SUDAFRICA - D
MONTES;MESSICO - D
MUDAU;SUDAFRICA - D
MUHAMEROVIC T;BOSNIA - D
MUHEIM M;SVIZZERA - D
MULDUR;TURCHIA - D
OKON;SUDAFRICA - D
PATTERSON;SCOZIA - D
REAM;USA - D
REYES I;MESSICO - D
RIAD C;MAROCCO - D
RO-RO;QATAR - D
ROBERTSON;SCOZIA - D
ROBINSON A;USA - D
